Most Common Modern Characters
114,第,第,di4,"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"
115,公,公,gong1,just/honorable (designation)/public/common
116,此,此,ci3,this/these
117,已,已,yi3,already/to stop/then/afterwards
118,工,工,gong1,work/worker/skill/profession/trade/craft/labor
119,使,使,shi3,to make/to cause/to enable/to use/to employ/messenger
120,情,情,qing2,feeling/emotion/passion/situation
121,明,明,ming2,clear/bright/to understand/next/the Ming dynasty
122,性,性,xing4,sex/nature/surname/suffix corresponding to -ness or -ity
123,知,知,zhi1,to know/to be aware
124,全,全,quan2,all/whole/entire/every/complete
125,三,三,san1,three/3
126,又,又,you4,(once) again/also/both... and.../again
127,关,關,guan1,(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve
128,点,點,dian3,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)
129,正,正,zheng1/zheng4,"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle"
130,业,業,ye4,business/occupation/study
131,外,外,wai4,outside/in addition/foreign/external
132,将,將,jiang1/jiang4,"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"
133,两,兩,liang3,both/two/ounce/some/a few/tael
134,高,高,gao1,high/tall
135,间,間,jian1/jian4,"between/among/space/(measure word), interstice/separate"
136,由,由,you2,follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)
137,问,問,wen4,to ask
138,很,很,hen3,very/extremely
139,最,最,zui4,(the) most/-est
140,重,重,chong2/zhong4,"to double/to repeat/repetition/iteration/again/a layer, heavy/serious"
141,并,並,bing4,"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with"
142,物,物,wu4,thing/object/matter
143,手,手,shou3,hand/convenient
144,应,應,ying1/ying4,"ought, (surname)/to answer/to respond"
145,战,戰,zhan4,to fight/fight/war/battle
146,向,向,xiang4,"direction/part/side/towards/to/guide/opposite to, guide/opposite to"
147,头,頭,tou2/tou,"head, suff. for nouns"
148,文,文,wen2,language/culture/writing/formal/literary
149,体,體,ti3,body/form/style/system
150,政,政,zheng4,political/politics/government
151,美,美,mei3,America/beautiful
152,相,相,xiang1/xiang4,"each other/one another/mutually, appearance/portrait/picture"
153,见,見,jian4/xian4,"to see/to meet/to appear (to be sth)/to interview, appear"
154,被,被,bei4,by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
155,利,利,li4,advantage/benefit/profit/sharp
156,什,什,shen2/shi2,"what, tenth (used in fractions)"
157,二,二,er4,two/2
158,等,等,deng3,class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
159,产,產,chan3,to reproduce/to produce/give birth/products/produce/resources/estate/property
160,或,或,huo4,maybe/perhaps/might/possibly/or
161,新,新,xin1,meso- (chem.)/new/newly
162,己,己,ji3,6th heavenly stem/self
163,制,製,zhi4,"system/to make/to manufacture/to control/to regulate, manufacture"
164,身,身,shen1,body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
165,果,果,guo3,fruit/result
166,加,加,jia1,to add/plus
